runID,model,runs,Kx,algo,epochs,refinement_epochs,levels,latent_dim,num_layers,num_designs,opt_cr,opt_des,run_time_s,run_time_f
0,ScalarOnScalarModel,5,[4],CordexContinuous,1000,100,,,,,"[[ 1. -1.  1.  1.]
 [ 1.  1. -1.  1.]
 [-1.  1.  1. -1.]
 [-1. -1. -1.  1.]
 [ 1. -1. -1. -1.]]",1.111111111111111,12.438431024551392,0 days 00:00:12.438431
1,ScalarOnScalarModel,15,[4],CordexContinuous,1000,100,,,,,"[[-1.  1.  1.  1.]
 [ 1.  1.  1. -1.]
 [-1.  1. -1. -1.]
 [-1. -1.  1. -1.]
 [-1. -1.  1. -1.]
 [ 1. -1. -1. -1.]
 [ 1.  1. -1.  1.]
 [-1. -1. -1.  1.]
 [-1.  1. -1.  1.]
 [ 1. -1.  1.  1.]
 [ 1. -1.  1.  1.]
 [ 1.  1. -1. -1.]
 [ 1.  1.  1.  1.]
 [ 1. -1. -1. -1.]
 [-1.  1.  1. -1.]]",0.3409090909090909,61.51019883155823,0 days 00:01:01.510199
2,ScalarOnScalarModel,30,[4],CordexContinuous,1000,100,,,,,"[[ 1.  1.  1. -1.]
 [-1.  1.  1.  1.]
 [ 1.  1. -1.  1.]
 [-1. -1. -1. -1.]
 [ 1. -1. -1.  1.]
 [ 1. -1. -1.  1.]
 [-1.  1. -1.  1.]
 [ 1. -1.  1. -1.]
 [ 1.  1. -1. -1.]
 [ 1.  1. -1.  1.]
 [-1. -1.  1.  1.]
 [ 1. -1.  1.  1.]
 [ 1.  1.  1. -1.]
 [-1. -1. -1. -1.]
 [-1.  1. -1. -1.]
 [ 1.  1.  1.  1.]
 [-1. -1. -1. -1.]
 [-1. -1.  1. -1.]
 [-1.  1.  1.  1.]
 [-1.  1.  1. -1.]
 [-1. -1.  1.  1.]
 [-1.  1.  1. -1.]
 [-1.  1. -1.  1.]
 [ 1. -1. -1.  1.]
 [-1. -1. -1.  1.]
 [ 1.  1. -1. -1.]
 [ 1. -1.  1.  1.]
 [ 1. -1.  1. -1.]
 [ 1. -1. -1. -1.]
 [-1.  1. -1.  1.]]",0.16780462184873948,152.5501217842102,0 days 00:02:32.550122
3,ScalarOnScalarModel,50,[4],CordexContinuous,1000,100,,,,,"[[ 1.  1.  1.  1.]
 [-1.  1.  1. -1.]
 [ 1. -1.  1. -1.]
 [ 1. -1. -1.  1.]
 [ 1.  1.  1.  1.]
 [ 1.  1. -1. -1.]
 [ 1. -1. -1. -1.]
 [ 1.  1. -1. -1.]
 [-1.  1. -1.  1.]
 [-1.  1. -1. -1.]
 [-1.  1. -1. -1.]
 [ 1. -1. -1. -1.]
 [-1. -1.  1. -1.]
 [ 1.  1. -1.  1.]
 [ 1.  1.  1. -1.]
 [-1. -1. -1. -1.]
 [-1.  1. -1.  1.]
 [-1.  1.  1. -1.]
 [-1. -1.  1.  1.]
 [-1. -1. -1. -1.]
 [ 1. -1. -1.  1.]
 [-1.  1.  1.  1.]
 [-1. -1.  1.  1.]
 [ 1.  1. -1.  1.]
 [ 1. -1.  1. -1.]
 [ 1.  1.  1.  1.]
 [ 1. -1.  1.  1.]
 [ 1.  1.  1.  1.]
 [-1.  1.  1. -1.]
 [-1.  1. -1. -1.]
 [ 1. -1. -1. -1.]
 [-1. -1. -1. -1.]
 [ 1.  1.  1. -1.]
 [ 1.  1. -1.  1.]
 [-1.  1.  1. -1.]
 [-1. -1.  1.  1.]
 [ 1. -1.  1. -1.]
 [ 1. -1.  1. -1.]
 [ 1. -1. -1. -1.]
 [-1. -1. -1.  1.]
 [-1. -1. -1.  1.]
 [ 1.  1.  1.  1.]
 [-1.  1.  1. -1.]
 [-1. -1.  1.  1.]
 [-1. -1.  1. -1.]
 [-1.  1. -1.  1.]
 [-1. -1.  1.  1.]
 [ 1.  1.  1.  1.]
 [-1. -1. -1.  1.]
 [-1.  1. -1. -1.]]",0.10063119207414509,273.6615023612976,0 days 00:04:33.661502
4,ScalarOnScalarModel,60,[4],CordexContinuous,1000,100,,,,,"[[ 1. -1. -1.  1.]
 [ 1.  1. -1. -1.]
 [ 1. -1. -1. -1.]
 [ 1.  1. -1. -1.]
 [ 1. -1. -1. -1.]
 [ 1.  1.  1.  1.]
 [-1.  1. -1.  1.]
 [ 1. -1.  1.  1.]
 [-1. -1. -1. -1.]
 [-1. -1.  1.  1.]
 [-1.  1.  1. -1.]
 [-1. -1.  1.  1.]
 [-1. -1.  1. -1.]
 [ 1. -1.  1. -1.]
 [ 1.  1.  1. -1.]
 [-1.  1. -1. -1.]
 [ 1. -1. -1. -1.]
 [ 1. -1.  1.  1.]
 [ 1.  1.  1. -1.]
 [-1.  1. -1. -1.]
 [-1. -1. -1.  1.]
 [ 1. -1.  1. -1.]
 [ 1.  1.  1. -1.]
 [-1. -1. -1. -1.]
 [-1. -1.  1. -1.]
 [ 1. -1.  1. -1.]
 [ 1.  1. -1.  1.]
 [ 1.  1.  1.  1.]
 [ 1. -1.  1.  1.]
 [ 1.  1.  1. -1.]
 [ 1.  1.  1.  1.]
 [ 1. -1.  1. -1.]
 [-1.  1.  1. -1.]
 [-1.  1.  1.  1.]
 [-1. -1.  1. -1.]
 [-1.  1.  1. -1.]
 [-1.  1. -1.  1.]
 [-1.  1.  1.  1.]
 [-1. -1. -1.  1.]
 [ 1. -1. -1.  1.]
 [-1. -1.  1.  1.]
 [-1.  1.  1.  1.]
 [ 1. -1. -1. -1.]
 [-1.  1. -1. -1.]
 [ 1.  1.  1.  1.]
 [ 1.  1. -1.  1.]
 [-1. -1. -1.  1.]
 [-1.  1.  1. -1.]
 [-1. -1.  1.  1.]
 [ 1.  1. -1.  1.]
 [ 1. -1.  1. -1.]
 [-1.  1. -1.  1.]
 [-1. -1. -1.  1.]
 [ 1.  1. -1. -1.]
 [ 1. -1. -1.  1.]
 [-1. -1.  1.  1.]
 [ 1.  1. -1.  1.]
 [-1. -1. -1. -1.]
 [-1.  1. -1. -1.]
 [-1.  1. -1. -1.]]",0.08355638190688303,340.0890009403229,0 days 00:05:40.089001
6,ScalarOnScalarModel,15,[8],CordexContinuous,1000,100,,,,,"[[ 1.  1.  1.  1. -1.  1. -1. -1.]
 [-1. -1. -1.  1. -1. -1. -1. -1.]
 [-1.  1. -1.  1.  1.  1.  1.  1.]
 [-1. -1.  1.  1. -1. -1.  1.  1.]
 [-1. -1.  1.  1.  1.  1. -1. -1.]
 [-1. -1. -1. -1. -1.  1.  1. -1.]
 [-1.  1.  1. -1. -1. -1. -1.  1.]
 [ 1. -1.  1. -1.  1. -1.  1. -1.]
 [ 1. -1. -1. -1.  1.  1. -1.  1.]
 [ 1.  1. -1. -1. -1.  1.  1. -1.]
 [-1. -1.  1. -1. -1.  1. -1.  1.]
 [-1.  1. -1. -1.  1. -1. -1. -1.]
 [ 1. -1. -1.  1. -1. -1. -1.  1.]
 [ 1.  1.  1.  1.  1. -1.  1.  1.]
 [-1.  1.  1. -1.  1. -1.  1.  1.]]",0.6453900709219857,107.68118906021118,0 days 00:01:47.681189
0,ScalarOnScalarModel,5,4,CordexContinuous,1000,100,,,,,1.111111111111111,"[[-1. -1. -1. -1.]
 [-1. -1.  1.  1.]
 [-1.  1. -1.  1.]
 [ 1.  1.  1. -1.]
 [ 1. -1. -1.  1.]]",12.344418048858643,0 days 00:00:12.344418
1,ScalarOnScalarModel,15,4,CordexContinuous,1000,100,,,,,0.3409090909090909,"[[-1.  1. -1.  1.]
 [-1.  1.  1. -1.]
 [ 1.  1. -1. -1.]
 [-1. -1. -1. -1.]
 [-1. -1. -1. -1.]
 [-1.  1. -1.  1.]
 [ 1. -1. -1.  1.]
 [ 1. -1. -1. -1.]
 [ 1.  1.  1. -1.]
 [-1. -1.  1.  1.]
 [-1. -1.  1.  1.]
 [ 1.  1.  1.  1.]
 [-1.  1.  1. -1.]
 [ 1. -1.  1.  1.]
 [ 1. -1.  1. -1.]]",53.84373092651367,0 days 00:00:53.843731
2,ScalarOnScalarModel,30,4,CordexContinuous,1000,100,,,,,0.16780462184873948,"[[-1. -1.  1.  1.]
 [ 1. -1.  1. -1.]
 [ 1. -1. -1.  1.]
 [-1.  1. -1. -1.]
 [ 1.  1.  1.  1.]
 [-1.  1.  1.  1.]
 [-1. -1.  1.  1.]
 [-1.  1.  1. -1.]
 [ 1. -1.  1.  1.]
 [ 1.  1.  1. -1.]
 [ 1. -1.  1. -1.]
 [-1.  1. -1.  1.]
 [-1. -1. -1. -1.]
 [ 1. -1. -1. -1.]
 [-1. -1.  1. -1.]
 [ 1.  1.  1. -1.]
 [-1.  1.  1. -1.]
 [-1. -1. -1. -1.]
 [ 1.  1. -1.  1.]
 [-1. -1.  1.  1.]
 [ 1.  1. -1.  1.]
 [ 1. -1. -1. -1.]
 [ 1.  1. -1. -1.]
 [-1.  1. -1.  1.]
 [-1. -1. -1.  1.]
 [-1.  1. -1. -1.]
 [ 1. -1. -1.  1.]
 [-1. -1.  1. -1.]
 [-1.  1.  1.  1.]
 [ 1.  1.  1.  1.]]",136.64234495162964,0 days 00:02:16.642345
3,ScalarOnScalarModel,50,4,CordexContinuous,1000,100,,,,,0.10024928774928774,"[[-1. -1.  1.  1.]
 [-1. -1. -1. -1.]
 [-1. -1.  1. -1.]
 [-1. -1. -1.  1.]
 [-1. -1. -1.  1.]
 [-1.  1.  1.  1.]
 [ 1. -1. -1.  1.]
 [ 1.  1. -1.  1.]
 [ 1. -1.  1. -1.]
 [ 1.  1. -1. -1.]
 [ 1. -1.  1.  1.]
 [-1.  1.  1.  1.]
 [-1. -1. -1. -1.]
 [ 1.  1. -1.  1.]
 [ 1. -1. -1.  1.]
 [ 1.  1.  1. -1.]
 [-1. -1. -1.  1.]
 [ 1.  1. -1.  1.]
 [ 1.  1.  1.  1.]
 [ 1. -1.  1.  1.]
 [ 1. -1.  1. -1.]
 [ 1. -1. -1. -1.]
 [ 1. -1.  1.  1.]
 [-1. -1. -1. -1.]
 [-1.  1. -1. -1.]
 [-1.  1.  1. -1.]
 [-1.  1.  1.  1.]
 [-1.  1.  1. -1.]
 [-1.  1.  1.  1.]
 [ 1. -1.  1.  1.]
 [ 1.  1. -1.  1.]
 [-1.  1.  1.  1.]
 [-1.  1. -1. -1.]
 [-1.  1.  1. -1.]
 [ 1. -1.  1. -1.]
 [ 1.  1. -1. -1.]
 [-1. -1. -1. -1.]
 [-1. -1. -1.  1.]
 [-1.  1. -1.  1.]
 [ 1. -1.  1. -1.]
 [-1. -1.  1. -1.]
 [ 1.  1. -1. -1.]
 [ 1.  1.  1. -1.]
 [ 1.  1. -1. -1.]
 [ 1.  1.  1.  1.]
 [ 1. -1.  1. -1.]
 [-1.  1.  1.  1.]
 [-1. -1.  1.  1.]
 [-1.  1. -1. -1.]
 [ 1. -1. -1.  1.]]",260.8781158924103,0 days 00:04:20.878116
